"通用拼音調值標記法","通用拼音調號標記法","教育部客語拼音"
a24,á,aˊ
a24,á,aˊ
a24,á,aˊ
a11,a,aˇ
a31,à,aˋ
a55,a,a
a55,a,a
ai24,ái,aiˊ
ai24,ái,aiˊ
ai24,ái,aiˊ
ai31,ài,aiˋ
ai55,ai,ai
ak2,ạk,agˋ
am24,ám,amˊ
am31,àm,amˋ
am31,àm,amˋ
am55,am,am
am55,am,am
an31,àn,
an31,àn,anˋ
an31,àn,anˋ
an55,an,an
ang24,áng,angˊ
ang11,ang,angˇ
ang55,ang,ang
ang55,ang,ang
ap2,ạp,abˋ
au24,áu,auˊ
au24,áu,auˊ
au11,au,auˇ
au31,àu,auˋ
au55,au,au
ba24,bá,baˊ
ba24,bá,baˊ
ba11,ba,baˇ
ba31,bà,baˋ
ba55,ba,ba
ba55,ba,ba
bai24,bái,baiˊ
bai24,bái,baiˊ
bai11,bai,baiˇ
bai31,bài,baiˋ
bai55,bai,bai
bai55,bai,bai
bak2,bạk,bagˋ
bak5,bak,bag
ban24,bán,banˊ
ban31,bàn,banˋ
ban55,ban,ban
bang24,báng,bangˊ
bang11,bang,bangˇ
bang31,bàng,bangˋ
bang31,bàng,bangˋ
bang55,bang,bang
bat2,bạt,badˋ
bat5,bat,bad
bau24,báu,bauˊ
bau55,bau,bau
bba55,bba,bba
bbak5,bbak,bbag
bbe11,bbe,bbeˇ
bben31,bbèn,bbenˋ
bbet5,bbet,bbed
bbi31,bbì,bbiˋ
bbok5,bbok,bbog
be24,bé,beˊ
be11,be,beˇ
be11,be,beˇ
ben24,bén,benˊ
ben55,ben,ben
bet2,bẹt,bed
beu24,béu,beuˊ
beu31,bèu,beuˋ
beu55,beu,beu
bi24,bí,biˊ
bi24,bí,biˊ
bi11,bi,biˇ
bi31,bì,biˋ
bi55,bi,bi
bi55,bi,bi
bai55,bia,bia
biak2,biạk,biagˋ
biak5,biak,biag
biak5,biak,biag
biang24,biáng,biangˊ
biang53,biàng,biangˋ
biang55,biang,biang
bien24,bién,bienˊ
bien31,bièn,bienˋ
bien55,bien,bien
biet5,biet,bied
bin24,bín,binˊ
bin31,bìn,binˋ
bin55,bin,bin
biong24,bióng,biongˊ
biong55,biong,biong
bip2,bịp,bibˋ
bit2,bịt,bidˋ
bit5,bit,bid
biu24,biú,biuˊ
biu31,biù,biuˋ
bo24,bó,boˊ
bo24,bó,boˊ
bo11,bo,boˇ
bo31,bò,boˋ
bo55,bo,bo
boi24,bói,boiˊ
boi31,bòi,boiˋ
boi55,boi,boi
bok2,bọk,bogˋ
bok5,bok,bog
bong24,bóng,bongˊ
bong11,bong,bongˇ
bong31,bòng,bongˋ
bong55,bong,bong
bot2,bọt,bodˋ
bu24,bú,buˊ
bu11,bu,buˇ
bu31,bù,buˋ
bu55,bu,bu
buk2,bụk,bugˋ
bun24,bún,bunˊ
bun31,bùn,bunˋ
bun55,bun,bun
bung11,bung,bungˇ
bung31,bùng,bungˋ
but2,bụt,budˋ
but5,but,bud
ca24,cá,caˊ
ca24,cá,caˊ
ca11,ca,caˇ
ca31,cà,caˋ
ca55,ca,ca
ca55,ca,ca
cai24,cái,caiˊ
cai11,cai,caiˇ
cai31,cài,caiˋ
cai55,cai,cai
cai55,cai,cai
cak2,cạk,cagˋ
cak2,cạk,cagˋ
cak5,cak,cag
cam24,cám,camˊ
cam24,cám,camˊ
cam11,cam,camˇ
cam11,cam,camˇ
cam31,càm,camˋ
cam31,càm,camˋ
cam55,cam,cam
cam55,cam,cam
cam55,cam,cam
can11,can,canˇ
can11,can,canˇ
can24,cán,canˊ
can31,càn,canˋ
can31,càn,canˋ
can55,can,can
can55,can,can
cang24,cáng,cangˊ
cang11,cang,cangˇ
cang11,cang,cangˇ
cang55,cang,cang
cang55,cang,cang
cang55,cang,cang
cap2,cạp,cabˋ
cap5,cap,cab
cap5,cap,cab
cat2,cạt,cadˋ
cat2,cạt,cadˋ
cat5,cat,cad
cat5,cat,cad
cau24,cáu,cauˊ
cau11,cau,cauˇ
cau31,càu,cauˋ
cau55,cau,cau
cau55,cau,cau
ce24,cé,ceˊ
ce24,cé,ceˊ
ce11,ce,ceˇ
ce31,cè,ceˋ
ce31,cè,ceˋ
ce55,ce,ce
ce55,ce,ce
ce55,ce,ce
cem24,cém,cemˊ
cem11,cem,cemˇ
cen24,cén,cenˊ
cen11,cen,cenˇ
cen55,cen,cen
cep2,cẹp,cebˋ
cet2,cẹt,cedˋ
cet5,cet,ced
ceu24,céu,ceuˊ
ceu24,céu,ceuˊ
ceu11,ceu,ceuˇ
ceu11,ceu,ceuˇ
ceu31,cèu,ceuˋ
ceu55,ceu,ceu
ceu55,ceu,ceu
ceu55,ceu,ceu
ceu55,ceu,ceu
ceu55,ceu,ceu
ci24,cí,qiˊ
ci24,cí,qiˊ
ci11,ci,qiˇ
ci31,cì,qiˋ
ci55,ci,qi
ci55,ci,qi
ci55,ci,qi
cia11,cia,qiaˇ
cia11,cia,qiaˇ
cia31,cià,qiaˋ
cia55,cia,qia
ciak2,ciạk,qiagˋ
ciak5,ciak,qiag
ciam24,ciám,qiamˊ
ciam24,ciám,qiamˊ
ciam31,ciàm,qiamˋ
ciam55,ciam,qiam
ciang24,ciáng,qiangˊ
ciang11,ciang,qiangˇ
ciang31,ciàng,qiangˋ
ciang31,ciàng,qiangˋ
ciang55,ciang,qiang
ciap2,ciạp,qiabˋ
ciap5,ciap,qiab
ciau24,ciáu,qiauˊ
ciau11,ciau,qiauˇ
ciau31,ciàu,qiauˋ
cien24,cién,qienˊ
cien11,cien,qienˇ
cien11,cien,qienˇ
cien31,cièn,qienˋ
cien55,cien,qien
cien55,cien,qien
ciet2,ciẹt,qiedˋ
ciet5,ciet,qied
cii24,cíi,ciiˊ
cii24,cíi,ciiˊ
cii11,cii,ciiˇ
cii11,cii,ciiˇ
cii11,cii,ciiˇ
cii11,cii,ciiˇ
cii31,cìi,ciiˋ
cii31,cìi,ciiˋ
cii55,cii,cii
cii55,cii,cii
cii55,cii,cii
cii55,cii,cii
cii55,cii,cii
cii55,cii,cii
ciim24,cíim,ciimˊ
ciim11,ciim,ciimˇ
ciim31,cìim,ciimˋ
ciim55,ciim,ciim
ciim55,ciim,ciim
ciin24,cíin,ciinˊ
ciin11,ciin,ciinˇ
ciin31,cìin,ciinˋ
ciin55,ciin,ciin
ciip5,ciip,ciib
ciit2,cịit,ciidˋ
ciit5,ciit,ciid
cim24,cím,qimˊ
cim11,cim,qimˇ
cim31,cìm,qimˋ
cim55,cim,qim
cin24,cín,qinˊ
cin11,cin,qimˇ
cin31,cìn,qinˋ
cin55,cin,qin
cin55,cin,qin
cio24,ció,qioˊ
cio55,cio,qio
ciok2,ciọk,qiogˋ
cion24,ción,qionˊ
cion11,cion,qionˇ
cion31,ciòn,qionˋ
cion55,cion,qion
ciong24,cióng,qiongˊ
ciong11,ciong,qiongˇ
ciong31,ciòng,qiongˋ
ciong55,ciong,qiong
ciong55,ciong,qiong
cip5,cip,qib
cit2,cịt,qidˋ
cit2,cịt,qidˋ
cit5,cit,qid
ciu24,ciú,qiuˊ
ciu11,ciu,qiuˇ
ciu55,ciu,qiu
ciu55,ciu,qiu
ciuk2,ciụk,qiugˋ
ciung11,ciung,qiungˇ
ciung11,ciung,qiungˇ
ciung55,ciung,qiung
co24,có,coˊ
co24,có,coˊ
co11,co,coˇ
co11,co,coˇ
co31,cò,coˋ
co55,co,co
co55,co,co
coi24,cói,coiˊ
coi24,cói,coiˊ
coi24,cói,coiˊ
coi11,coi,coiˇ
coi11,coi,coiˇ
coi31,còi,coiˋ
coi55,coi,coi
coi55,coi,coi
cok2,cọk,cogˋ
cok2,cọk,cogˋ
cok5,cok,cog
cok5,cok,cog
con24,cón,conˊ
con24,cón,conˊ
con11,con,conˇ
con55,con,con
con55,con,con
con55,con,con
cong24,cóng,congˊ
cong11,cong,congˇ
cong11,cong,congˇ
cong31,còng,congˋ
cong31,còng,congˋ
cong31,còng,congˋ
cong55,cong,cong
cong55,cong,cong
cong55,cong,cong
cong55,cong,cong
cot2,cọt,codˋ
cot2,cọt,codˋ
cu24,cú,cuˊ
cu24,cú,cuˊ
cu24,cú,cuˊ
cu24,cú,cuˊ
cu11,cu,cuˇ
cu11,cu,cuˇ
cu11,cu,cuˇ
cu31,cù,cuˋ
cu31,cù,cuˋ
cu31,cù,cuˋ
cu55,cu,cu
cu55,cu,cu
cu55,cu,cu
cu55,cu,cu
cu55,cu,cu
cu55,cu,cu
cui24,cúi,cuiˊ
cui11,cui,cuiˇ
cui31,cùi,cuiˋ
cui55,cui,cui
cui55,cui,cui
cui55,cui,cui
cuk2,cụk,cugˋ
cuk2,cụk,cugˋ
cuk5,cuk,cug
cuk5,cuk,cug
cun24,cún,cunˊ
cun24,cún,cunˊ
cun11,cun,cunˇ
cun31,cùn,cunˋ
cun31,cùn,cunˋ
cun55,cun,cun
cung24,cúng,cungˊ
cung24,cúng,cungˊ
cung24,cúng,cungˊ
cung11,cung,cungˇ
cung11,cung,cungˇ
cung31,cùng,cungˋ
cung55,cung,cung
cung55,cung,cung
cung55,cung,cung
cut2,cụt,cudˋ
cut2,cụt,cudˋ
cut5,cut,cud
da31,dà,daˋ
da55,da,da
da55,da,da
dai24,dái,daiˊ
dai31,dài,daiˋ
dai55,dai,dai
dak2,dạk,dagˋ
dak5,dak,dag
dak5,dak,dag
dam24,dám,damˊ
dam24,dám,damˊ
dam11,dam,damˇ
dam31,dàm,damˋ
dam55,dam,dam
dan24,dán,danˊ
dan31,dàn,danˋ
dan55,dan,dan
dang24,dáng,dangˊ
dang24,dáng,dangˊ
dang11,dang,dangˇ
dang31,dàng,dangˋ
dang55,dang,dang
dap2,dạp,dabˋ
dap5,dap,dab
dat2,dạt,dadˋ
dat5,dat,dad
dau11,dau,dauˇ
dau11,dau,dauˇ
de11,de,deˇ
de55,de,de
dem24,dém,demˊ
dem11,dem,demˇ
dem31,dèm,demˋ
dem55,dem,dem
den24,dén,denˊ
den31,dèn,denˋ
den31,dèn,denˋ
den55,den,den
dep2,dẹp,debˋ
dep5,dep,deb
det2,dẹt,dedˋ
det5,det,ded
deu24,déu,deuˊ
deu31,dèu,deuˋ
deu55,deu,deu
di24,dí,diˊ
di11,di,diˇ
di31,dì,diˋ
di55,di,di
dia24,diá,diaˊ
dia11,dia,diaˇ
dia3i,dià,diaˋ
dia55,dia,dia
dia55,dia,dia
diak5,diak,diag
diam24,diám,diamˊ
diam31,diàm,diamˋ
diam55,diam,diam
diap2,diạp,diabˋ
diap5,diap,diab
diau24,diáu,diauˊ
diau11,diau,diauˇ
diau31,diàu,diauˋ
diau55,diau,diau
dien24,dién,dienˊ
dien31,dièn,dienˋ
dien55,dien,dien
diet2,diẹt,diedˋ
din24,dín,dinˊ
din11,din,dinˇ
din31,dìn,dinˋ
din55,din,din
dio11,dio,dioˇ
diok2,diọk,diogˋ
diong24,dióng,diongˊ
diong11,diong,diongˇ
diong55,diong,diong
dit2,dịt,didˋ
dit5,dit,did
diu24,diú,diuˊ
diu11,diu,diuˇ
diu55,diu,diu
do24,dó,doˊ
do11,do,doˇ
do11,do,doˇ
do11,do,doˇ
do31,dò,doˋ
do55,do,do
doi24,dói,doiˊ
doi11,doi,doiˇ
doi31,dòi,doiˋ
doi55,doi,doi
doi55,doi,doi
dok2,dọk,dogˋ
dok2,dọk,dogˋ
dok5,dok,dog
don24,dón,donˊ
don31,dòn,donˋ
dong24,dóng,dongˊ
dong11,dong,dongˇ
dong31,dòng,dongˋ
dong55,dong,dong
dot2,dọt,dodˋ
du24,dú,duˊ
du11,du,duˇ
du31,dù,duˋ
du55,du,du
du55,du,du
du55,du,du
dui24,dúi,duiˊ
dui24,dúi,duiˊ
dui31,dùi,duiˋ
dui31,dùi,duiˋ
dui55,dui,dui
duk2,dụk,dugˋ
duk5,duk,dug
dun24,dún,dunˊ
dun31,dùn,dunˋ
dun31,dùn,dunˋ
dun55,dun,dun
dung24,dúng,dungˊ
dung24,dúng,dungˊ
dung11,dung,dungˇ
dung31,dùng,dungˋ
dung31,dùng,dungˋ
dung55,dung,dung
dung55,dung,dung
dut2,dụt,dutˋ
e24,é,eˊ
e11,e,eˇ
e11,e,eˇ
e31,è,eˋ
e31,è,eˋ
e31,è,eˋ
e55,e,e
em24,ém,emˊ
em24,ém,emˊ
em11,em,emˇ
em31,èm,emˋ
em55,em,em
en24,én,enˊ
en24,én,enˊ
en31,èn,enˋ
en55,en,en
ep2,ẹp,ebˋ
ep5,ep,eb
et2,ẹt,edˋ
et5,et,ed
eu24,éu,euˊ
eu31,èu,euˋ
eu31,èu,euˋ
eu55,eu,eu
fa24,fá,faˊ
fa11,fa,faˇ
fa55,fa,fa
fa55,fa,fa
fai11,fai,faiˇ
fai31,fài,faiˋ
fai55,fai,fai
fak2,fạk,fagˋ
fak5,fak,fag
fam24,fám,famˊ
fam11,fam,famˇ
fam31,fàm,famˋ
fam55,fam,fam
fan24,fán,fanˊ
fan11,fan,fanˇ
fan11,fan,fanˇ
fan31,fàn,fanˋ
fan55,fan,fan
fan55,fan,fan
fan55,fan,fan
fang11,fang,fangˇ
fang31,fàng,fangˋ
fang55,fang,fang
fap2,fạp,fabˋ
fat2,fạt,fadˋ
fat5,fat,fad
fe24,fé,feˊ
fe31,fè,feˋ
fen24,fén,fenˊ
fen11,fen,fenˇ
fet5,fet,fed
feu11,feu,feuˇ
feu11,feu,feuˇ
feu31,fèu,feuˋ
fi24,fí,fiˊ
fi24,fí,fiˊ
fi11,fi,fiˇ
fi31,fì,fiˋ
fi31,fì,fiˋ
fi55,fi,fi
fi55,fi,fi
fin11,fin,finˇ
fin11,fin,finˇ
fin55,fin,fin
fit2,fịt,fidˋ
fit5,fit,fid
fiu11,fiu,fiuˇ
fiu31,fiù,fiuˋ
fiu55,fiu,fiu
fo11,fo,foˇ
fo31,fò,foˋ
fo55,fo,fo
fo55,fo,fo
foi24,fói,foiˊ
fok2,fọk,fogˋ
fok5,fok,fog
fon24,fón,fonˊ
fon31,fòn,fonˋ
fon55,fon,fon
fon55,fon,fon
fong24,fóng,fongˊ
fong11,fong,fongˇ
fong31,fòng,fongˋ
fong55,fong,fong
fu24,fú,fuˊ
fu11,fu,fuˇ
fu31,fù,fuˋ
fu55,fu,fu
fu55,fu,fu
fuk2,fụk,fugˋ
fuk5,fuk,fug
fun24,fún,funˊ
fun11,fun,funˇ
fun31,fùn,funˋ
fun55,fun,fun
fung24,fúng,fungˊ
fung11,fung,fungˇ
fung31,fùng,fungˋ
fung55,fung,fung
fut2,fụt,fudˋ
fut5,fut,fdg
ga24,gá,gaˊ
ga24,gá,gaˊ
ga11,ga,gaˇ
ga11,ga,gaˇ
ga31,gà,gaˋ
ga55,ga,ga
gai11,gai,gaiˇ
gak2,gạk,gagˋ
gam24,gám,gamˊ
gam31,gàm,gamˋ
gam55,gam,gam
gam55,gam,gam
gan24,gán,ganˊ
gang24,gáng,gangˊ
gang31,gàng,gangˋ
gang55,gang,gang
gap2,gạp,gabˋ
gap2,gạp,gabˋ
gap5,gap,gab
gat2,gạt,gadˋ
gat5,gat,gad
gau24,gáu,gauˊ
gau24,gáu,gauˊ
gau11,gau,gauˇ
gau31,gàu,gauˋ
gau55,gau,gau
gau55,gau,gau
ge55,ge,ge
ge55,ge,ge
ggo11,ggo,ggoˇ
gi24,gí,giˊ
gi31,gì,giˋ
gi55,gi,gi
gia24,giá,giaˊ
gia31,gìa,giaˋ
gia55,gia,gia
giai24,giái,giaiˊ
giai31,giài,giaiˋ
giai55,giai,giai
giak2,giạk,giagˋ
giam24,giám,giamˊ
giam11,giam,giamˇ
giam31,giàm,giamˋ
giam55,giam,giam
gian24,gián,gianˊ
gian11,gian,gianˇ
gian31,giàn,gianˋ
gian55,gian,gian
gian55,gian,gian
giang24,giáng,giangˊ
giang11,giang,giangˇ
giang31,giàng,giangˋ
giang55,giang,giang
giap2,giạp,giabˋ
giap2,giạp,giabˋ
giap5,giap,giab
giat2,giạt,giadˋ
giau24,giáu,giauˊ
giau31,giàu,giauˋ
giau55,giau,giau
gie24,gié,gieˊ
gie24,gié,gieˊ
gie11,gie,gieˇ
gie11,gie,gieˇ
gie31,giè,gieˋ
gie31,giè,gieˋ
gie55,gie,gie
gie55,gie,gie
gie55,gie,gie
gie55,gie,gie
giem11,giem,giemˇ
giem55,giem,giem
gien24,gién,gienˊ
gien24,gién,gienˊ
gien11,gien,gienˇ
gien31,gièn,gienˋ
gien31,gièn,gienˋ
gien55,gien,gien
gien55,gien,gien
giep5,giep,gieb
giet2,giẹt,giedˋ
gieu24,giéu,gieuˊ
gieu24,giéu,gieuˊ
gieu24,giéu,gieuˊ
gieu24,giéu,gieuˊ
gieu53,gièu,gieuˋ
gieu53,gièu,gieuˋ
gieu55,gieu,gieu
gieu55,gieu,gieu
gim24,gím,gimˊ
gim53,gìm,gimˋ
gim55,gim,gim
gin24,gín,ginˊ
gin31,gìn,ginˋ
gin55,gin,gin
gio24,gió,gioˊ
giok2,giọk,giogˋ
giong24,gióng,giongˊ
giong31,giòng,giongˋ
gip2,gịp,gibˋ
git2,gịt,gidˋ
git5,git,gid
giu24,giú,giuˊ
giu24,giú,giuˊ
giu11,giu,giuˇ
giu31,giù,giuˋ
giu55,giu,giu
giuk2,giụk,giugˋ
giuk5,giuk,giug
giun24,giún,giunˊ
giun55,giun,giun
giung24,giúng,giungˊ
giung53,giùng,giungˋ
giung55,giung,giung
go24,gó,goˊ
go11,go,goˇ
go31,gò,goˋ
go31,gò,goˋ
go55,go,go
goi24,gói,goiˊ
goi11,goi,goiˇ
goi55,goi,goi
gok2,gọk,gogˋ
gok5,gok,gog
gok5,gok,gog
gon24,gón,gonˊ
gon31,gòn,gonˋ
gon55,gon,gon
gong24,góng,gongˊ
gong11,gong,gongˇ
gong31,gòng,gongˋ
gong55,gong,gong
got2,gọt,godˋ
gu24,gú,guˊ
gu24,gú,guˊ
gu24,gú,guˊ
gu24,gú,guˊ
gu11,gu,guˇ
gu31,gù,guˋ
gu31,gù,guˋ
gu55,gu,gu
gu55,gu,gu
gua24,guá,guaˊ
gua11,gua,guaˇ
gua11,gua,guaˇ
gua31,guà,guaˋ
gua55,gua,gua
gua55,gua,gua
guai24,guái,guaiˊ
guai31,guài,guaiˋ
guai55,guai,guai
guak5,guak,guag
guan24,guán,guanˊ
guan24,guán,guanˊ
guan55,guan,guan
guang24,guáng,guangˊ
guang11,guang,guangˇ
guang31,guàng,guangˋ
guat2,guạt,guadˋ
guat5,guat,guad
guen24,guén,guenˊ
guen53,guèn,guenˋ
guen55,guen,guen
guet2,guẹt,guedˋ
guet5,guet,gued
gui24,gúi,guiˊ
gui31,gùi,guiˋ
gui55,gui,gui
guk2,gụk,gugˋ
gun24,gún,gunˊ
gun55,gun,gun
gung24,gúng,gungˊ
gung31,gùng,gungˋ
gung31,gùng,gungˋ
gung55,gung,gung
gut2,gụt,gudˋ
gut5,gut,gud
ha24,há,haˊ
ha24,há,haˊ
ha11,ha,haˇ
ha31,hà,haˋ
ha55,ha,ha
hai24,hái,haiˊ
hai24,hái,haiˊ
hai11,hai,haiˇ
hai31,hài,haiˋ
hai31,hài,haiˋ
hai55,hai,hai
hai55,hai,hai
hain55,hain,
hak2,hạk,hagˋ
hak55,hak,hag
ham24,hám,hamˊ
ham11,ham,hamˇ
ham31,hàm,hamˋ
ham55,ham,ham
ham55,ham,ham
han24,hán,hanˊ
han11,han,hanˇ
han31,hàn,hanˋ
han55,han,han
hang24,háng,hangˊ
hang11,hang,hangˇ
hang55,hang,hang
hap2,hạp,habˋ
hap5,hap,hab
hat2,hạt,hadˋ
hat5,hat,had
hau24,háu,hauˊ
hau24,háu,hauˊ
hau11,hau,hauˇ
hau31,hàu,hauˋ
hau55,hau,hau
he24,hé,heˊ
he31,hè,heˋ
he55,he,he
hem24,hém,hemˊ
hem11,hem,hemˇ
hem55,hem,hem
hen24,hén,henˊ
hen24,hén,henˊ
hen11,hen,henˇ
hen31,hèn,henˋ
hen55,hen,hen
het2,hẹt,hedˋ
het5,het,hed
heu24,héu,heuˊ
heu11,heu,heuˇ
heu31,hèu,heuˋ
heu55,heu,heu
hi24,hí,hiˊ
hi11,hi,hiˇ
hi31,hì,hiˋ
hi55,hi,hi
hia24,hiá,hiaˊ
hiak2,hiạk,hiagˋ
hiam24,hiám,hiamˊ
hiam11,hiam,hiamˇ
hiam31,hiàm,hiamˋ
hiam55,hiám,hiamˊ
hian24,hián,hianˊ
hian11,hian,hianˇ
hian31,hiàn,hianˋ
hian55,hian,hian
hian55,hian,hian
hiap2,hiạp,hiabˋ
hiap5,hiap,hiab
hiat2,hiạt,hiadˋ
hiat5,hiat,hiad
hiau31,hiàu,hiauˋ
hien24,hién,hienˊ
hien11,hien,hienˇ
hien31,hièn,hienˋ
hien55,hien,hien
hien55,hien,hien
hiet2,hiẹt,hiedˋ
hiet5,hiẹt,hied
hieu24,hiéu,hieuˊ
hieu11,hieu,hieuˇ
hieu55,hieu,hieu
hieu55,hieu,hieu
him24,hím,himˊ
him11,him,himˇ
him31,hìm,himˋ
hin24,hín,hinˊ
hin11,hin,hinˇ
hin31,hìn,hinˋ
hin55,hin,hin
hin55,hin,hin
hio24,hió,hioˊ
hio11,hio,hioˇ
hio55,hio,hio
hiok2,hiọk,hiokˋ
hiong24,hióng,hiongˊ
hiong31,hiòng,hiongˋ
hiong55,hiong,hiong
hip2,hịp,hiok
hit2,hịt,hitˋ
hit5,hit,hit
hiu24,hiú,hiuˊ
hiu31,hiù,hiuˋ
hiu31,hiù,hiuˋ
hiu55,hiu,hiu
hiu55,hiu,hiu
hiuk2,hiụk,hiukˋ
hiun24,hiún,hiunˊ
hiun11,hiun,hiunˇ
hiun31,hiùn,hiunˋ
hiun55,hiun,hiun
hiung24,hiúng,hiungˊ
hiung11,hiung,hiungˇ
hiung31,hiùng,hiungˋ
hn24,h́n,
hn53,h̀n,
hin55,hin,
ho24,hó,hoˊ
ho24,hó,hoˊ
ho11,ho,hoˇ
ho11,ho,hoˇ
ho31,hò,hoˋ
ho31,hò,hoˋ
ho55,ho,ho
ho55,ho,ho
hoi11,hoi,hoiˇ
hoi31,hòi,hoiˋ
hoi55,hoi,hoi
hoi55,hoi,hoi
hok2,họk,hogˋ
hok5,hok,hok
hon24,hón,honˊ
hon11,hon,honˇ
hon31,hòn,honˋ
hon55,hon,hon
hon55,hon,hon
hong24,hóng,hongˊ
hong11,hong,hongˇ
hong31,hòng,hongˋ
hong55,hong,hong
hong55,hong,hong
hot2,họt,hotˋ
i24,í,iˊ
i55,i,i
i55,i,i
ia11,ia,iaˇ
ia31,ià,iaˋ
iau24,iáu,iauˊ
iaun11,iaun,
io24,ió,ioˊ
io31,iò,ioˋ
io55,io,io
ka24,ká,kaˊ
ka11,ka,kaˇ
ka11,ka,kaˇ
ka11,ka,kaˇ
ka31,kà,kaˋ
ka55,ka,ka
ka55,ka,ka
kai24,kái,kaiˊ
kai11,kai,kaiˇ
kak2,kạk,kagˋ
kak5,kak,kag
kak5,kak,kag
kam24,kám,kamˊ
kam11,kam,kamˇ
kam31,kàm,kamˋ
kam55,kam,kam
kan24,kán,kanˊ
kan24,kán,kanˊ
kan55,kan,kan
kang55,kang,kang
kap2,kạp,kabˋ
kap5,kap,kab
kat2,kạt,kadˋ
kau24,káu,kauˊ
kau11,kau,kauˇ
kau31,kàu,kauˋ
kau31,kàu,kauˋ
kau55,kau,kau
ki24,kí,kiˊ
ki11,ki,kiˇ
ki11,ki,kiˇ
ki31,kì,kiˋ
ki55,ki,ki
ki55,ki,ki
ki55,ki,ki
kia24,kiá,kiaˊ
kia24,kiá,kiaˊ
kia11,kia,kiaˇ
kia55,kia,kia
kia55,kia,kia
kiak2,kiạk,kiagˋ
kiak5,kiak,kiag
kiam24,kiám,kiamˊ
kiam11,kiam,kiamˇ
kiam31,kiàm,kiamˋ
kiam55,kiam,kiam
kiam55,kiam,kiam
kian24,kián,kianˊ
kian11,kian,kianˇ
kian31,kiàn,kianˋ
kian55,kian,kian
kian55,kian,kian
kiang24,kiáng,kiangˊ
kiang55,kiang,kiang
kiang55,kiang,kiang
kiap2,kiạp,kiabˋ
kiap5,kiap,kiab
